intermolecular_contacts,charged_charged_contacts,charged_polar_contacts,charged_apolar_contacts,polar_polar_contacts,apolar_polar_contacts,apolar_apolar_contacts,percentage_apolar_nis,percentage_charged_nis,binding_affinity,dissociation_constant,label
26,0,1,3,1,7,14,35.79,31.44,-6.6,1.4e-05,0
28,1,2,5,2,11,7,38.28,27.39,-7.7,2.2e-06,0
29,0,0,0,4,15,10,35.21,31.34,-7.7,2.4e-06,0
35,0,1,1,2,14,17,33.6,28.32,-8.6,4.6e-07,1
18,0,2,0,4,7,5,34.13,31.06,-6.1,3.5e-05,0
20,0,0,4,0,4,12,37.29,29.15,-6.3,2.6e-05,0
24,3,4,7,1,4,5,32.27,31.77,-7.2,5e-06,1
18,0,1,0,6,10,1,34.02,31.96,-6.3,2.5e-05,0
28,0,3,2,1,10,12,36.6,31.37,-7.0,6.8e-06,0
18,1,4,4,0,6,3,35.67,30.0,-7.0,7.4e-06,0
22,0,0,2,0,7,13,36.06,28.88,-7.0,7.3e-06,1
31,5,6,13,0,1,6,31.86,31.53,-7.6,2.5e-06,0
22,0,3,6,0,6,7,36.49,28.04,-7.2,5.1e-06,0
27,0,3,5,1,7,11,32.99,28.91,-7.7,2.3e-06,0
20,0,1,9,0,6,4,36.39,27.55,-7.6,2.7e-06,0
25,2,7,11,0,2,3,31.83,30.0,-7.6,2.7e-06,1
24,4,6,9,0,2,3,33.55,29.44,-7.3,4.1e-06,1
28,3,4,4,2,2,13,37.33,29.33,-5.7,7e-05,0
19,0,0,0,2,12,5,37.0,31.0,-7.1,6.4e-06,0
43,5,6,15,0,7,10,32.41,31.76,-9.1,2.2e-07,1
27,0,0,2,0,14,11,36.03,29.09,-8.6,5.2e-07,1
20,1,2,4,4,5,4,37.12,28.09,-6.0,4.2e-05,0
24,2,3,8,0,3,8,34.25,30.06,-7.1,6.6e-06,1
32,0,2,2,4,18,6,34.26,30.8,-8.8,3.6e-07,0
34,1,2,7,1,16,7,30.53,32.28,-10.0,4.6e-08,0
30,2,5,11,0,9,3,32.67,32.5,-8.7,4.3e-07,1
33,0,2,3,4,12,12,35.14,27.87,-7.8,2e-06,1
19,1,4,2,1,8,3,34.68,30.64,-7.1,5.7e-06,0
34,2,4,6,0,11,11,36.52,31.4,-8.1,1.2e-06,0
28,0,0,9,2,12,5,37.25,27.18,-8.5,6.2e-07,0
6,1,1,4,0,0,0,34.55,32.23,-5.5,8.7e-05,0
41,4,7,12,0,7,11,32.52,31.21,-8.7,4e-07,1
36,0,0,7,0,12,17,34.16,29.04,-9.0,2.6e-07,1
26,0,3,3,7,12,1,32.87,30.1,-7.3,4.5e-06,0
22,0,0,4,0,5,13,37.63,26.78,-6.7,1.1e-05,0
25,0,3,7,0,6,9,36.3,27.39,-7.4,3.5e-06,0
17,1,4,8,0,1,3,32.67,28.33,-7.0,6.7e-06,0
30,0,0,5,0,13,12,35.57,27.75,-8.9,2.9e-07,1
14,1,0,6,0,0,7,36.22,27.56,-6.1,3.6e-05,0
25,0,1,7,1,9,7,35.96,35.27,-6.9,8.7e-06,0
21,0,2,6,1,6,6,33.33,28.96,-7.5,3.2e-06,0
34,1,1,9,0,9,14,38.21,29.57,-7.8,2e-06,0
21,1,3,8,0,2,7,37.67,25.0,-6.8,1e-05,0
25,1,0,5,0,6,13,35.41,29.02,-7.3,4.6e-06,1
20,0,0,0,2,3,15,33.22,29.83,-5.9,4.7e-05,0
27,0,1,2,1,11,12,33.81,30.38,-7.9,1.5e-06,1
32,0,2,3,1,10,16,34.37,28.97,-7.9,1.6e-06,1
13,7,1,4,0,0,1,33.22,30.07,-6.6,1.3e-05,1
35,0,2,3,1,10,19,34.43,29.0,-7.9,1.7e-06,1
21,0,2,2,0,4,13,33.17,30.38,-6.7,1.3e-05,1
21,0,1,3,0,7,10,35.37,29.59,-7.1,5.8e-06,0
12,0,2,2,0,6,2,34.68,27.95,-7.2,5.5e-06,0
22,0,1,0,0,12,9,33.81,30.96,-8.1,1.2e-06,1
30,1,1,8,3,8,9,37.19,28.42,-7.2,5.3e-06,0
17,1,3,5,0,4,4,34.23,29.19,-7.0,7.1e-06,0
22,4,1,6,0,4,7,34.24,31.19,-7.1,5.9e-06,0
31,0,0,4,0,13,14,37.2,28.33,-8.4,6.6e-07,0
14,1,2,2,0,4,5,31.96,29.9,-7.0,6.8e-06,0
23,0,0,6,0,1,16,33.78,31.42,-6.1,3.2e-05,0
32,2,7,6,5,8,4,34.88,28.96,-7.1,6.7e-06,1
27,1,5,5,1,6,9,37.72,29.76,-6.5,1.6e-05,0
26,1,2,9,0,3,11,34.04,31.26,-6.9,8.1e-06,1
22,0,1,3,0,14,4,33.94,29.65,-9.0,2.6e-07,1
28,2,8,9,0,3,6,35.79,28.09,-7.1,5.7e-06,0
21,0,0,0,0,6,15,34.55,29.57,-6.8,1.1e-05,0
25,0,1,1,6,11,6,36.54,29.24,-6.5,1.7e-05,0
25,4,1,8,0,2,10,34.92,32.88,-6.5,1.7e-05,0
29,1,2,2,0,10,14,32.57,29.61,-8.3,7.7e-07,1
21,0,2,1,1,8,9,33.22,29.15,-7.4,3.6e-06,0
32,0,2,2,1,12,15,34.26,28.87,-8.3,8.4e-07,1
34,0,2,2,2,12,16,34.84,27.81,-8.1,1.1e-06,1
22,5,5,7,0,4,1,32.9,31.92,-7.5,3.3e-06,0
34,0,2,3,3,8,18,35.08,28.03,-7.0,6.8e-06,1
31,0,0,1,0,15,15,34.16,29.04,-9.1,2.3e-07,1
22,3,1,9,0,3,6,33.44,27.76,-7.7,2.2e-06,0
29,0,1,3,0,10,15,33.45,32.41,-7.8,1.9e-06,0
21,1,1,9,0,3,7,33.84,30.87,-7.0,6.9e-06,1
26,0,0,4,0,8,14,34.6,29.82,-7.6,2.8e-06,1
24,3,2,7,1,6,5,34.59,30.48,-7.4,3.6e-06,0
33,0,0,1,3,14,15,34.42,28.57,-8.3,8.8e-07,1
35,0,2,2,2,13,16,34.68,28.36,-8.3,8.1e-07,1
19,0,1,8,0,2,8,35.28,28.62,-6.7,1.3e-05,1
32,2,6,12,0,8,4,32.5,32.33,-8.6,4.8e-07,1
35,1,1,12,0,12,9,34.47,28.8,-9.5,1e-07,1
42,0,5,1,7,21,8,33.29,30.53,-9.0,2.5e-07,1
29,2,2,7,0,7,11,34.15,29.08,-8.0,1.3e-06,1
20,0,0,3,0,7,10,34.69,28.83,-7.4,3.9e-06,1
26,0,0,0,2,14,10,33.1,30.36,-8.3,7.5e-07,1
30,0,4,2,4,15,5,35.86,27.93,-8.2,9.6e-07,0
30,0,0,5,0,12,13,34.43,29.18,-8.7,4.1e-07,1
21,2,4,6,3,5,1,34.33,28.67,-6.9,8.6e-06,0
29,0,4,4,1,13,7,32.95,31.11,-8.6,4.6e-07,1
23,0,0,0,0,11,12,35.65,29.03,-7.8,2e-06,1
25,3,4,8,1,8,1,33.0,30.99,-8.2,9.6e-07,1
35,0,2,2,3,12,16,34.14,28.16,-8.0,1.3e-06,1
20,0,0,3,1,6,10,32.99,31.27,-6.9,8.3e-06,0
25,0,0,3,0,15,7,34.41,28.92,-9.2,1.7e-07,1
33,4,3,11,2,6,7,33.33,30.61,-7.9,1.5e-06,0
20,0,0,0,2,11,7,33.11,30.39,-7.7,2.4e-06,1
23,2,3,12,0,1,5,32.49,30.64,-7.3,4.7e-06,1
19,0,0,0,0,9,10,35.7,28.76,-7.3,4.1e-06,1
26,1,2,9,0,6,8,33.98,30.66,-7.7,2.2e-06,1
28,3,3,15,0,1,6,34.1,29.67,-7.5,3.2e-06,1
28,0,0,5,0,13,10,34.14,29.13,-9.0,2.5e-07,1
33,2,6,12,0,9,4,32.83,32.66,-8.7,4e-07,1
20,0,2,2,1,8,7,35.41,30.49,-6.9,8.2e-06,0
26,2,4,7,1,4,8,34.04,30.69,-6.9,8e-06,1
32,0,1,1,4,13,13,32.87,28.52,-8.1,1.1e-06,1
19,0,0,2,1,8,8,34.11,30.1,-7.2,5e-06,0
22,1,2,6,0,5,8,36.86,27.24,-7.1,6e-06,0
43,4,8,13,0,7,11,32.68,31.69,-8.7,4e-07,1
23,1,1,9,0,5,7,34.24,30.32,-7.5,3.2e-06,1
27,2,7,8,1,7,2,34.87,29.93,-7.7,2.3e-06,0
33,0,4,5,2,12,10,33.22,29.79,-8.5,6.3e-07,0
31,2,2,1,2,14,10,33.28,30.1,-8.6,4.6e-07,1
32,0,1,2,1,13,15,34.15,28.9,-8.5,5.6e-07,1
23,1,2,9,0,4,7,34.11,29.94,-7.3,4.1e-06,1
18,0,1,6,0,3,8,36.88,28.02,-6.5,1.8e-05,1
33,0,2,3,1,10,17,34.06,29.38,-7.9,1.6e-06,1
26,2,1,2,1,7,13,36.86,30.03,-6.7,1.2e-05,0
27,2,3,6,3,7,6,32.21,30.54,-7.5,3.2e-06,0
28,0,0,5,2,3,18,35.37,29.59,-6.0,3.7e-05,0
23,4,5,9,0,2,3,33.33,33.33,-6.8,9.5e-06,0
15,0,1,3,0,6,5,34.02,31.27,-6.9,8.3e-06,0
32,0,2,1,1,15,13,32.54,30.85,-8.9,2.9e-07,0
12,0,2,5,1,2,2,34.25,27.74,-6.5,1.8e-05,0
29,1,10,11,0,3,4,35.91,29.19,-7.1,6.4e-06,0
29,0,2,2,2,13,10,33.9,29.85,-8.2,9e-07,1
33,1,0,8,1,7,16,36.58,31.21,-7.1,6.3e-06,0
22,0,0,2,0,11,9,35.88,28.57,-8.0,1.4e-06,1
27,0,2,1,3,14,7,35.91,28.86,-7.9,1.5e-06,0
26,0,3,2,2,9,10,32.55,34.23,-7.0,7.5e-06,0
31,1,3,9,5,10,3,35.03,29.25,-7.6,2.5e-06,0
41,0,1,15,1,13,11,36.64,27.4,-9.6,9.6e-08,0
24,0,0,1,0,10,13,32.72,29.88,-8.1,1.2e-06,1
28,0,0,7,0,8,13,34.44,30.13,-7.9,1.7e-06,0
27,0,0,5,1,9,12,35.84,28.67,-7.6,2.5e-06,0
28,1,5,4,2,11,5,33.56,29.45,-8.2,9.6e-07,0
28,0,3,4,2,8,11,34.87,29.93,-7.1,6e-06,0
49,1,3,11,0,11,23,37.41,30.61,-8.4,6.7e-07,0
32,2,6,6,0,5,13,34.36,28.01,-7.6,2.8e-06,1
32,0,2,3,1,10,16,33.78,29.45,-7.9,1.5e-06,1
23,0,5,3,4,9,2,34.78,27.76,-7.2,5.5e-06,0
36,8,5,9,1,7,6,35.91,30.2,-8.1,1.1e-06,0
35,0,2,2,2,13,16,35.18,27.85,-8.3,8.4e-07,1
27,0,0,1,1,8,17,34.42,29.22,-7.2,5.3e-06,1
27,0,1,4,3,10,9,35.29,28.37,-7.5,3.1e-06,0
22,0,0,1,0,10,11,34.94,29.0,-7.8,2e-06,1
35,0,2,2,2,13,16,34.69,28.34,-8.3,8.1e-07,1
27,3,7,7,0,5,5,33.31,30.55,-7.6,2.6e-06,1
30,3,4,8,2,5,8,35.33,28.33,-7.3,4.8e-06,0
26,2,4,9,1,6,4,32.9,30.62,-7.8,1.8e-06,0
36,0,0,2,0,15,19,36.3,28.38,-8.8,3.3e-07,0
21,0,0,3,0,7,11,34.2,29.01,-7.4,3.5e-06,1
28,0,2,3,2,10,11,34.65,28.74,-7.7,2.3e-06,1
20,3,4,8,0,1,4,39.73,26.74,-6.1,3.1e-05,1
32,1,2,2,2,15,10,34.69,29.76,-8.7,4.5e-07,1
27,0,7,4,4,9,3,32.71,30.72,-7.2,4.8e-06,1
24,0,0,2,1,11,10,34.0,30.02,-7.9,1.5e-06,1
21,2,4,8,0,1,6,35.35,29.62,-6.5,1.8e-05,0
23,0,2,6,0,6,9,35.39,29.87,-7.2,5.5e-06,0
28,1,2,5,2,11,7,35.62,30.39,-7.8,1.9e-06,0
